measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2011-04-01,17477.052,110841.0,448827.0,10509.647,66653.0,269898.0,,,,,,,11116.717,70503.0,285488.0
2011-05-01,11187.678,70953.0,317527.0,12029.217,76291.0,341411.0,,,,,,,5254.08,33322.0,149120.0
2011-06-01,20912.236,132628.0,535955.0,12151.015,77063.0,311416.0,,,,,,,12295.559,77980.0,315120.0
2011-07-01,18582.991,117855.0,485245.0,10456.021,66313.0,273031.0,,,,,,,12630.326,80103.0,329807.0
2011-08-01,19701.543,124949.0,485791.0,9298.825,58974.0,229286.0,,,,,,,12820.697,81310.0,316126.0
2011-09-01,17211.872,109160.0,445643.0,18812.67,119312.0,487090.0,,,,,,,1906.348,12090.0,49358.0
2011-10-01,16742.503,106183.0,437981.0,11261.129,71419.0,294589.0,,,,,,,11009.516,69824.0,288007.0
2011-11-01,17338.91,109965.0,452133.0,13871.457,87974.0,361715.0,,,,,,,11269.464,71472.0,293865.0
2011-12-01,17268.912,109521.0,468739.0,14567.896,92391.0,395424.0,,,,,,,13708.301,86940.0,372091.0
2013-01-01,16502.875,104663.0,467057.0,15542.276,98571.0,439870.0,,,,,,,7071.709,44850.0,200140.0
2013-02-01,15789.309,100138.0,423702.0,13670.532,86700.0,366845.0,,,,,,,8049.477,51051.0,216005.0
2013-03-01,17575.368,111465.0,479231.0,13739.014,87134.0,374624.0,,,,,,,8795.429,55782.0,239827.0
2013-04-01,17556.1,111343.0,458078.0,10852.457,68827.0,283165.0,,,,,,,9853.637,62493.0,257104.0
2013-05-01,17216.002,109186.0,478645.0,10653.887,67568.0,296203.0,,,,,,,10184.88,64594.0,283163.0
2013-06-01,13715.038,86982.0,408221.0,7978.544,50601.0,237477.0,,,,,,,9811.941,62228.0,292048.0
2013-07-01,18718.453,118714.0,497164.0,10489.95,66528.0,278614.0,,,,,,,8045.475,51025.0,213689.0
2013-08-01,19703.545,124962.0,496770.0,12559.288,79652.0,316647.0,,,,,,,8741.977,55443.0,220405.0
2013-09-01,15492.754,98257.0,446107.0,11924.055,75624.0,343348.0,,,,,,,6328.133,40134.0,182216.0
2013-10-01,20622.88,130793.0,512389.0,12269.134,77812.0,304835.0,,,,,,,9318.933,59102.0,231535.0
2013-11-01,10812.087,68571.0,322370.0,11646.966,73866.0,347262.0,,,,,,,2802.599,17774.0,83561.0
2013-12-01,18923.574,120015.0,478900.0,12096.812,76719.0,306135.0,,,,,,,11549.713,73250.0,292289.0
2014-01-01,15166.635,96188.0,1046250.0,2626.214,16656.0,181166.0,,,,,,,23622.969,149819.0,1629599.0
2014-02-01,11830.066,75028.0,858006.0,4985.997,31622.0,361622.0,,,,,,,20994.79,133151.0,1522700.0
2014-03-01,12451.675,78970.0,967022.0,6839.126,43374.0,531140.0,,,,,,,21819.642,138383.0,1694558.0
2014-04-01,11839.399,75087.0,923975.0,3943.125,25008.0,307731.0,,,,,,,21682.62,137514.0,1692163.0
2014-05-01,13456.428,85342.0,958653.0,5069.83,32153.0,361181.0,,,,,,,22167.415,140588.0,1579235.0
2014-06-01,10817.849,68608.0,748368.0,4568.551,28974.0,316048.0,,,,,,,17745.871,112546.0,1227642.0
2014-07-01,10092.997,64011.0,721126.0,3409.776,21625.0,243622.0,,,,,,,17703.136,112275.0,1264856.0
2014-08-01,8981.843,56964.0,707101.0,3787.479,24021.0,298172.0,,,,,,,18436.586,116927.0,1451432.0
2014-09-01,8447.133,53573.0,665011.0,3461.14,21951.0,272482.0,,,,,,,18514.031,117418.0,1457539.0
2014-10-01,9743.406,61794.0,714862.0,4101.195,26010.0,300900.0,,,,,,,17776.157,112738.0,1304215.0
2014-11-01,8591.919,54491.0,664581.0,4138.407,26246.0,320104.0,,,,,,,17461.506,110743.0,1350640.0
2014-12-01,9169.96,58157.0,716903.0,4445.94,28197.0,347582.0,,,,,,,17912.669,113604.0,1400404.0
