measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2020-03-01,7.06,78.0,78.0,2052.174,22672.0,22672.0,10172.766,112385.0,112385.0
2020-04-01,68.045,772.0,772.0,1986.072,22533.0,22533.0,9666.883,109676.0,109676.0
2020-05-01,43.368,488.0,488.0,1639.975,18454.0,18454.0,8672.657,97589.0,97589.0
2020-06-01,0.0,0.0,0.0,2120.267,22672.0,22672.0,10135.733,108380.0,108380.0
2020-07-01,13.565,144.0,144.0,2046.886,21728.0,21728.0,10245.549,108759.0,108759.0
2020-08-01,31.931,335.0,335.0,2142.473,22478.0,22478.0,9564.596,100346.0,100346.0
2020-09-01,15.032,162.0,162.0,1995.631,21506.0,21506.0,10201.337,109936.0,109936.0
2020-10-01,75.788,851.0,851.0,1705.222,19148.0,19148.0,9822.99,110300.0,110300.0
2020-11-01,17.291,194.0,194.0,1444.384,16206.0,16206.0,8025.325,90044.0,90044.0
2020-12-01,47.531,525.0,525.0,2203.316,24337.0,24337.0,10475.153,115703.0,115703.0
2022-01-01,557.135,6265.0,6265.0,1054.415,11856.0,11856.0,10412.45,117079.0,117079.0
2022-02-01,466.833,5270.0,5270.0,1203.73,13589.0,13589.0,9518.437,107453.0,107453.0
2022-03-01,515.438,5910.0,5910.0,1633.254,18726.0,18726.0,10019.308,114878.0,114878.0
2022-04-01,308.226,4103.0,4103.0,792.37,10549.0,10549.0,6761.404,90014.0,90014.0
2022-05-01,419.089,5007.0,5007.0,1045.865,12494.0,12494.0,6556.046,78322.0,78322.0
2022-06-01,20.993,236.0,236.0,1406.281,15838.0,15838.0,10423.726,117398.0,117398.0
2022-07-01,20.735,224.0,224.0,1463.375,15808.0,15808.0,10870.89,117432.0,117432.0
2022-08-01,14.254,152.0,152.0,1790.828,19152.0,19152.0,10045.918,107436.0,107436.0
2022-09-01,0.544,6.0,6.0,1203.145,13771.0,13771.0,7839.311,89729.0,89729.0
2022-10-01,7.122,74.0,74.0,1390.985,14379.0,14379.0,11359.893,117432.0,117432.0
2022-11-01,10.174,107.0,107.0,1433.368,15048.0,15048.0,10566.458,110930.0,110930.0
2022-12-01,39.462,444.0,444.0,1943.4,21858.0,21858.0,9004.138,101270.0,101270.0
2023-01-01,1.402,16.0,16.0,1786.364,19821.0,19821.0,9949.234,110393.0,110393.0
2023-02-01,30.705,336.0,336.0,1780.836,19486.0,19486.0,8863.459,96986.0,96986.0
2023-03-01,4.678,52.0,52.0,2172.308,24077.0,24077.0,10145.014,112442.0,112442.0
2023-04-01,0.891,10.0,10.0,1908.577,22222.0,22222.0,9710.532,113064.0,113064.0
2023-05-01,0.54,6.0,6.0,2108.608,24290.0,24290.0,9985.852,115030.0,115030.0
2023-06-01,63.26,729.0,729.0,1012.981,11674.0,11674.0,6800.759,78372.0,78372.0
2023-07-01,0.729,8.0,8.0,2006.174,22830.0,22830.0,10381.097,118138.0,118138.0
2023-08-01,18.742,249.0,249.0,1281.98,17024.0,17024.0,10404.278,138163.0,138163.0
2023-09-01,12.884,177.0,177.0,1276.662,17571.0,17571.0,10547.454,145169.0,145169.0
