measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2013-02-01,3113.112,56240.0,56240.0,808.21,11288.0,11288.0
2013-03-01,3344.471,60420.0,60420.0,868.274,12127.0,12127.0
2013-04-01,3035.399,54836.0,54836.0,788.035,11006.0,11006.0
2013-05-01,3366.918,60825.0,60825.0,874.102,12208.0,12208.0
2013-06-01,3278.768,59233.0,59233.0,851.217,11888.0,11888.0
2013-07-01,3371.853,60914.0,60914.0,875.383,12226.0,12226.0
2013-08-01,3725.648,67306.0,67306.0,967.234,13509.0,13509.0
2013-09-01,3398.549,61397.0,61397.0,882.314,12323.0,12323.0
2013-10-01,3710.291,67029.0,67029.0,963.247,13453.0,13453.0
2013-11-01,3689.424,66652.0,66652.0,957.83,13378.0,13378.0
2013-12-01,3851.978,69588.0,69588.0,1000.031,13967.0,13967.0
2014-01-01,4917.214,72067.0,72067.0,139.94,1794.0,1794.0
2014-02-01,4291.658,62897.0,62897.0,122.137,1567.0,1567.0
2014-03-01,4485.088,65732.0,65732.0,127.642,1637.0,1637.0
2014-04-01,3938.779,57726.0,57726.0,112.094,1438.0,1438.0
2014-05-01,4058.368,59478.0,59478.0,115.498,1481.0,1481.0
2014-06-01,4304.498,63086.0,63086.0,122.502,1571.0,1571.0
2014-07-01,4305.674,63103.0,63103.0,122.536,1572.0,1572.0
2014-08-01,4220.097,61849.0,61849.0,120.1,1540.0,1540.0
2014-09-01,4253.631,62340.0,62340.0,121.055,1552.0,1552.0
2014-10-01,4274.982,62653.0,62653.0,121.662,1561.0,1561.0
2014-11-01,3670.67,53796.0,53796.0,104.464,1340.0,1340.0
2014-12-01,3913.341,57353.0,57353.0,111.37,1428.0,1428.0
