measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-04-01,7306.573,118829.0,118829.0,4.427,72.0,72.0
2013-05-01,6895.062,112840.0,112840.0,10.938,179.0,179.0
2013-06-01,3905.457,66005.0,66005.0,32.543,550.0,550.0
2013-07-01,2832.812,52960.0,52960.0,133.188,2490.0,2490.0
2013-08-01,5891.878,98580.0,98580.0,97.122,1625.0,1625.0
2013-09-01,6846.167,111439.0,111439.0,16.833,274.0,274.0
2013-10-01,7974.836,129369.0,129369.0,6.164,100.0,100.0
2013-11-01,7587.29,123206.0,123206.0,2.71,44.0,44.0
2013-12-01,7434.459,121272.0,121272.0,23.541,384.0,384.0
2014-01-01,7379.546,121061.0,121061.0,31.454,516.0,516.0
2014-02-01,7159.249,116424.0,116424.0,3.751,61.0,61.0
2014-03-01,7074.481,115196.0,115196.0,9.519,155.0,155.0
2014-04-01,6977.856,114650.0,114650.0,34.144,561.0,561.0
2014-05-01,6935.559,114043.0,114043.0,22.441,369.0,369.0
2014-06-01,6187.995,103503.0,103503.0,99.005,1656.0,1656.0
2014-07-01,7160.606,117044.0,117044.0,19.394,317.0,317.0
2014-08-01,7799.978,127546.0,127546.0,16.022,262.0,262.0
2014-09-01,6297.814,103887.0,103887.0,18.186,300.0,300.0
2014-10-01,7047.251,116448.0,116448.0,47.749,789.0,789.0
2014-11-01,6886.55,114254.0,114254.0,72.45,1202.0,1202.0
2014-12-01,8221.61,133387.0,133387.0,3.39,55.0,55.0
2015-01-01,7779.93,126790.0,126790.0,13.07,213.0,213.0
2015-02-01,7392.002,120181.0,120181.0,3.998,65.0,65.0
2015-03-01,8170.966,132581.0,132581.0,2.034,33.0,33.0
2015-04-01,7540.703,122438.0,122438.0,5.297,86.0,86.0
2015-05-01,8017.624,129977.0,129977.0,9.376,152.0,152.0
2015-06-01,6973.62,114030.0,114030.0,25.38,415.0,415.0
2015-07-01,7080.736,116411.0,116411.0,31.264,514.0,514.0
2015-08-01,7746.896,126468.0,126468.0,4.104,67.0,67.0
2015-09-01,6392.152,104780.0,104780.0,13.848,227.0,227.0
2015-10-01,8048.297,130597.0,130597.0,7.703,125.0,125.0
2015-11-01,7638.831,124161.0,124161.0,1.169,19.0,19.0
2015-12-01,6411.461,106404.0,106404.0,37.539,623.0,623.0
2016-01-01,7225.182,119871.0,119871.0,104.818,1739.0,1739.0
2016-02-01,7552.028,123380.0,123380.0,30.972,506.0,506.0
2016-03-01,5549.736,92454.0,92454.0,54.264,904.0,904.0
2016-04-01,5693.29,94872.0,94872.0,62.71,1045.0,1045.0
2016-05-01,7868.784,128563.0,128563.0,28.216,461.0,461.0
2016-06-01,6548.456,107706.0,107706.0,18.544,305.0,305.0
2016-07-01,5031.669,87060.0,87060.0,153.331,2653.0,2653.0
2016-08-01,7238.276,119263.0,119263.0,40.724,671.0,671.0
2016-09-01,6489.142,105921.0,105921.0,0.858,14.0,14.0
2016-10-01,7985.588,130708.0,130708.0,17.412,285.0,285.0
2016-11-01,7287.517,119263.0,119263.0,3.483,57.0,57.0
2016-12-01,5800.363,98146.0,98146.0,98.637,1669.0,1669.0
2017-01-01,7562.183,125190.0,125190.0,100.817,1669.0,1669.0
2017-02-01,6930.251,113026.0,113026.0,9.749,159.0,159.0
2017-03-01,8013.636,130919.0,130919.0,15.364,251.0,251.0
2017-04-01,7781.762,127199.0,127199.0,9.238,151.0,151.0
2017-05-01,8045.636,131452.0,131452.0,12.364,202.0,202.0
2017-06-01,7675.426,125786.0,125786.0,17.574,288.0,288.0
2017-07-01,5611.154,95244.0,95244.0,91.846,1559.0,1559.0
2017-08-01,7543.422,124459.0,124459.0,41.578,686.0,686.0
2017-09-01,5990.831,99448.0,99448.0,47.169,783.0,783.0
2017-10-01,8098.396,132754.0,132754.0,13.604,223.0,223.0
2017-11-01,7251.055,119784.0,119784.0,20.945,346.0,346.0
2017-12-01,7280.473,120206.0,120206.0,28.527,471.0,471.0
2018-01-01,6479.74,108723.0,108723.0,74.26,1246.0,1246.0
2018-02-01,6809.751,112022.0,112022.0,22.249,366.0,366.0
2018-03-01,7046.144,117329.0,117329.0,61.856,1030.0,1030.0
2018-04-01,5754.237,97824.0,97824.0,82.763,1407.0,1407.0
2018-05-01,6720.415,112654.0,112654.0,54.585,915.0,915.0
2018-06-01,5473.215,93397.0,93397.0,87.785,1498.0,1498.0
2018-07-01,4105.867,76905.0,76905.0,384.133,7195.0,7195.0
2018-08-01,6936.949,115543.0,115543.0,17.051,284.0,284.0
2018-09-01,6176.421,102870.0,102870.0,28.579,476.0,476.0
2018-10-01,7563.658,123727.0,123727.0,43.342,709.0,709.0
2018-11-01,7963.815,128948.0,128948.0,0.185,3.0,3.0
2018-12-01,7757.209,126182.0,126182.0,8.791,143.0,143.0
2019-01-01,8083.938,131093.0,131093.0,0.062,1.0,1.0
2019-02-01,6254.036,102957.0,102957.0,50.964,839.0,839.0
2019-03-01,5049.493,88164.0,88164.0,196.507,3431.0,3431.0
2019-04-01,5771.97,97191.0,97191.0,96.03,1617.0,1617.0
