measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2018-12-01,,,,3235.885,46542.0,46542.0,7220.628,103855.0,103855.0,9367.487,134734.0,134734.0
2019-01-01,,,,2643.709,40615.0,40615.0,8570.506,131668.0,131668.0,10337.785,158818.0,158818.0
2019-02-01,,,,3001.299,36251.0,36251.0,10026.443,121105.0,121105.0,8418.258,101680.0,101680.0
2019-03-01,,,,2275.522,33617.0,33617.0,7408.262,109443.0,109443.0,9078.216,134113.0,134113.0
2019-04-01,,,,3233.829,49692.0,49692.0,11041.211,169664.0,169664.0,14720.96,226209.0,226209.0
2019-05-01,,,,4460.255,56812.0,56812.0,13004.028,165637.0,165637.0,13168.717,167735.0,167735.0
2019-06-01,,,,3433.063,46957.0,46957.0,12000.502,164141.0,164141.0,13605.435,186093.0,186093.0
2019-07-01,,,,4011.897,53128.0,53128.0,12937.783,171331.0,171331.0,13680.32,181164.0,181164.0
2019-08-01,,,,3535.155,48601.0,48601.0,12621.434,173520.0,173520.0,15238.411,209498.0,209498.0
2019-09-01,,,,2864.921,44597.0,44597.0,8802.671,137027.0,137027.0,14507.408,225829.0,225829.0
2019-10-01,,,,3220.669,45594.0,45594.0,9492.772,134385.0,134385.0,12126.559,171670.0,171670.0
2019-11-01,,,,3976.327,54312.0,54312.0,11974.369,163556.0,163556.0,17270.304,235892.0,235892.0
2019-12-01,,,,3217.238,44690.0,44690.0,11349.11,157649.0,157649.0,13800.652,191702.0,191702.0
2020-01-01,,,,3997.296,59863.0,59863.0,11360.945,170139.0,170139.0,14991.759,224513.0,224513.0
2020-02-01,,,,3672.081,56790.0,56790.0,9237.76,142866.0,142866.0,14610.159,225952.0,225952.0
2020-03-01,,,,2898.964,41729.0,41729.0,7975.712,114806.0,114806.0,12326.324,177430.0,177430.0
2020-04-01,,,,3416.464,48327.0,48327.0,10166.868,143813.0,143813.0,14437.668,204224.0,204224.0
2020-05-01,,,,3651.941,52840.0,52840.0,10770.727,155841.0,155841.0,14881.332,215317.0,215317.0
2020-06-01,,,,3436.539,50442.0,50442.0,9876.179,144964.0,144964.0,13264.282,194695.0,194695.0
2020-07-01,,,,3722.635,57006.0,57006.0,9387.035,143746.0,143746.0,16134.33,247069.0,247069.0
2020-08-01,,,,3803.549,58314.0,58314.0,10495.192,160906.0,160906.0,14926.259,228841.0,228841.0
2020-09-01,,,,4835.849,76898.0,76898.0,7894.079,125529.0,125529.0,13874.072,220620.0,220620.0
2020-10-01,,,,5755.23,82609.0,82609.0,9634.854,138296.0,138296.0,14437.916,207238.0,207238.0
2020-11-01,,,,4653.616,74609.0,74609.0,7854.065,125920.0,125920.0,15065.319,241535.0,241535.0
2020-12-01,,,,3276.836,54511.0,54511.0,7482.817,124479.0,124479.0,12437.347,206899.0,206899.0
2021-01-01,,,,3063.345,46440.0,46440.0,7961.231,120692.0,120692.0,11576.424,175497.0,175497.0
2021-02-01,,,,1911.789,29568.0,29568.0,5593.804,86516.0,86516.0,6438.407,99579.0,99579.0
2021-03-01,,,,3524.484,52211.0,52211.0,7508.807,111235.0,111235.0,9546.709,141424.0,141424.0
2021-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
